Название,Тип,О чем,Статус,Запланированна,Ссылка,Repeat,Готовность
"Что такое алгоритм?! Часть первая","Статья","","TODO","July 6, 2020","https://habr.com/ru/post/504008/","",""
"Что такое алгоритм! (часть 2)","Статья","","TODO","July 6, 2020","https://habr.com/ru/post/506588/","",""
"Что такое алгоритм !!? Часть III «Память и мозг»","Статья","","TODO","July 6, 2020","https://habr.com/ru/post/507788/","",""
"Что такое алгоритм?_? Часть 3.1 «Эволюция памяти»","Статья","","TODO","July 6, 2020","https://habr.com/ru/post/509600/","",""
"Бюджетный DI на антипаттернах","Статья","","TODO","July 6, 2020","https://habr.com/ru/company/tinkoff/blog/508452/","",""
"Как мы решаем проблему отсутствия UI\UX дизайна в 1С с помощью Java Script и React.js","Статья","","TODO","July 7, 2020","https://habr.com/ru/post/509332/","",""
"Математические расчёты, стоящие за феноменом роллинг-шаттера","Статья","","TODO","July 7, 2020","https://habr.com/ru/company/skillfactory/blog/509454/","",""
"Приручая MVI","Статья","","TODO","July 7, 2020","https://habr.com/ru/post/509378/","",""
"SOLID == ООП?","Статья","","TODO","July 7, 2020","https://habr.com/ru/post/509430/","",""
"9 ключевых алгоритмов машинного обучения простым языком","Статья","","TODO","July 7, 2020","https://habr.com/ru/post/509472/","",""
"Как вырастить разработчика внутри компании: личный опыт","Статья","","TODO","July 8, 2020","https://tproger.ru/articles/raising-developers-inside-company/","",""
"Data Science с нуля: подробный гайд для начинающих","Статья","","TODO","July 8, 2020","https://tproger.ru/translations/a-beginners-guide-to-data-science/","",""
"New in Chrome: CSS Overview | CSS-Tricks","Статья","","TODO","July 8, 2020","https://css-tricks.com/new-in-chrome-css-overview/","",""
"Прости, React, но я так больше не могу","Статья","","TODO","July 8, 2020","https://habr.com/ru/company/ruvds/blog/508654/","",""
"Утерянная диссертация Денниса Ритчи","Статья","","TODO","July 8, 2020","https://habr.com/ru/post/507678/","",""
"Понятнее о S.O.L.I.D","Статья","","TODO","July 9, 2020","https://habr.com/ru/post/508086/","",""
"Собеседование наоборот: вопросы соискателя к компании","Статья","","TODO","July 9, 2020","https://habr.com/ru/post/508700/","",""
"Umka. Жизнь статической типизации в скриптовом языке","Статья","","TODO","July 9, 2020","https://habr.com/ru/post/507510/","",""
"Не надо следовать JavaScript-трендам","Статья","","TODO","July 9, 2020","https://habr.com/ru/company/ruvds/blog/507518/","",""
"Визуализация генеративных алгоритмов: гифа, деревья, повторяющиеся и дифференциальные линии (на Python)","Статья","","TODO","July 9, 2020","https://habr.com/ru/post/507602/","",""
"Производительность современной Java при работе с большим объёмом данных, часть 1","Статья","","TODO","July 10, 2020","https://habr.com/ru/company/mailru/blog/506706/","",""
"Активный гиппокамп запомнил слова лучше неподготовленного","Статья","","TODO","July 10, 2020","https://nplus1.ru/news/2020/06/03/preonset-hippocampus","",""
"Спутники для создания искусственных солнечных затмений запустят в 2022 году","Статья","","TODO","July 10, 2020","https://nplus1.ru/news/2020/02/17/Proba-3-2022","",""
"The Hooks of React Router | CSS-Tricks","Статья","","TODO","July 10, 2020","https://css-tricks.com/the-hooks-of-react-router/","",""
"HTTP 503","Статья","","TODO","July 10, 2020","https://habr.com/ru/post/487122/","",""
"Обучение и оценка модели с Keras","Статья","","TODO","July 11, 2020","https://habr.com/ru/post/485890/","",""
"HTTP 503","Статья","","TODO","July 11, 2020","https://habr.com/ru/post/486988/","",""
"215. Перфоманс сначала или потом, воркеры, офлайн, без JS, чистый CSS и грязный результат","Статья","","TODO","July 11, 2020","https://medium.com/web-standards/episode-215-49238637735a","",""
"Introducing the Docker Index: Insight from the World’s Most Popular Container Registry - Docker Blog","Статья","","TODO","July 11, 2020","https://www.docker.com/blog/introducing-the-docker-index/","",""
"Электронный тест беременности из аптеки: как это работает","Статья","","TODO","July 11, 2020","https://habr.com/ru/post/486808/","",""
"Svelte: знакомимся с Действиями","Статья","","TODO","July 12, 2020","https://habr.com/ru/post/486626/","",""
"Веб тренды 2020, которые стоит попробовать","Статья","","TODO","July 12, 2020","https://habr.com/ru/post/485768/","",""
"Про геометрический смысл кодов Грея","Статья","","TODO","July 12, 2020","https://habr.com/ru/post/484532/","",""
"Особенности реализации динамических списков в пользовательских интерфейсах","Статья","","TODO","July 12, 2020","https://habr.com/ru/company/lsfusion/blog/484648/","",""
"HTTP 503","Статья","","TODO","July 12, 2020","https://habr.com/ru/company/piter/blog/484470/","",""
